iter	Passed	Remaining
0	0	97
1	1	89
2	2	85
3	3	79
4	4	78
5	4	77
6	5	76
7	6	75
8	7	75
9	8	74
10	9	73
11	9	73
12	10	72
13	11	71
14	12	70
15	13	69
16	14	68
17	14	68
18	15	67
19	16	66
20	17	65
21	18	65
22	19	64
23	20	63
24	20	62
25	21	62
26	22	61
27	23	60
28	24	59
29	25	58
30	26	57
31	26	57
32	27	56
33	28	55
34	29	54
35	30	53
36	31	53
37	32	52
38	32	51
39	33	50
40	34	50
41	35	48
42	36	47
43	37	47
44	38	46
45	38	45
46	39	44
47	41	44
48	42	44
49	43	43
50	44	42
51	45	41
52	46	40
53	46	40
54	47	38
55	48	38
56	49	37
57	50	36
58	51	35
59	52	34
60	52	33
61	53	32
62	54	32
63	55	31
64	56	30
65	57	29
66	58	28
67	58	27
68	59	26
69	60	25
70	61	25
71	62	24
72	62	23
73	63	22
74	64	21
75	65	20
76	66	19
77	67	18
78	67	18
79	68	17
80	69	16
81	70	15
82	71	14
83	72	13
84	73	12
85	73	12
86	74	11
87	75	10
88	76	9
89	77	8
90	78	7
91	78	6
92	79	6
93	80	5
94	81	4
95	82	3
96	82	2
97	83	1
98	84	0
99	85	0
